Fighter,Elo Rating
Rafael Fiziev,1051.51
Ricco Rodriguez,1051.45
Jerry Bohlander,1051.3
Tony Ferguson,1050.96
Geoff Neal,1050.89
Guy Mezger,1050.75
Jussier Formiga,1050.62
Said Nurmagomedov,1050.49
Eddie Alvarez,1050.34
Dustin Ortiz,1050.24
Alan Jouban,1049.99
Jalin Turner,1049.5
Andre Petroski,1049.42
Charles Radtke,1049.29
Terrance McKinney,1049.11
Rinya Nakamura,1048.9
Chris Lytle,1048.61
Adrian Yanez,1048.19
Thiago Tavares,1048.08
Chris Wade,1047.92
Steve Erceg,1047.92
Jon Madsen,1047.87
Luke Rockhold,1047.86
Renato Sobral,1047.63
Jamahal Hill,1047.61
Alex Perez,1047.31
Sergio Moraes,1047.3
Laverne Clark,1047.25
Askar Askarov,1047.21
Sean Pierson,1047.1
Francis Carmont,1046.64
Murilo Bustamante,1046.38
Roman Kopylov,1046.21
Tecia Pennington,1045.7
Patrick Smith,1045.51
Shane Carwin,1045.46
Jose Delgado,1045.45
Victor Henry,1045.17
Gray Maynard,1044.89
Aaron Simpson,1044.85
Philipe Lins,1044.55
John Dodson,1044.39
Ethyn Ewing,1044.2
Yousri Belgaroui,1044.07
Tito Ortiz,1044.0
Claudia Gadelha,1043.92
Jack Shore,1043.69
Seokhyeon Ko,1043.59
Alexander Gustafsson,1043.54
John Moraga,1043.4
Dooho Choi,1043.23
Jacare Souza,1043.21
Ray Borg,1043.1
Enrique Barzola,1042.93
Modestas Bukauskas,1042.72
Fatima Kline,1042.72
Ilir Latifi,1042.69
Mason Jones,1042.31
Frank Mir,1042.28
Bas Rutten,1042.25
Chase Hooper,1042.14
Shawn Jordan,1041.75
Casey Kenney,1041.67
Matheus Nicolau,1041.59
Mark Madsen,1041.53
Ramazan Temirov,1041.39
Adlan Amagov,1041.25
Reinier de Ridder,1040.99
Jake Shields,1040.95
Johnny Walker,1040.72
Charles Johnson,1040.64
Dean Lister,1040.61
Daniil Donchenko,1040.56
Michelle Montague,1040.55
Darren Till,1040.52
Kyung Ho Kang,1040.48
Edson Barboza,1040.43
Sam Patterson,1040.01
Phillip Miller,1039.99
Michael Graves,1039.94
Brady Hiestand,1039.94
Chris Holdsworth,1039.88
Billy Elekana,1039.77
Kurt Pellegrino,1039.7
Arjan Bhullar,1039.64
Mizuki,1039.42
Aleksandre Topuria,1039.14
Jakub Wiklacz,1039.03
Luke Riley,1038.91
Stephan Bonnar,1038.86
Bia Mesquita,1038.86
Joel Sutton,1038.85
Edimilson Souza,1038.85
Don Madge,1038.85
Josh Koscheck,1038.84
Bryan Caraway,1038.64
Kaue Fernandes,1038.61
Krzysztof Soszynski,1038.58
Abel Trujillo,1038.4
Vladimir Matyushenko,1038.31
Zhang Mingyang,1038.31
Claude Patrick,1038.12
Lorenz Larkin,1038.02
Danny Silva,1037.99
Jacob Volkmann,1037.96
Marwan Rahiki,1037.83
Javid Basharat,1037.8
Jimmy Crute,1037.77
Alex Hunter,1037.7
Brock Lesnar,1037.68
Jeremy Kennedy,1037.54
Desmond Green,1037.5
Alberto Mina,1037.35
Andre Muniz,1037.33
Karine Silva,1037.29
Abus Magomedov,1037.24
Makhmud Muradov,1037.1
Santiago Luna,1036.99
